iter	Passed	Remaining
219	664	2356
220	666	2350
221	669	2344
222	671	2338
223	673	2331
224	675	2327
225	679	2326
226	682	2324
227	684	2319
228	687	2315
229	691	2313
230	695	2313
231	697	2307
232	699	2303
233	702	2298
234	704	2294
235	709	2297
236	712	2292
237	714	2287
238	716	2282
239	720	2280
240	725	2283
241	727	2280
242	730	2276
243	736	2281
244	740	2281
245	743	2278
246	745	2272
247	747	2267
248	755	2279
249	758	2274
250	760	2268
251	762	2263
252	766	2264
253	772	2267
254	775	2264
255	780	2268
256	784	2267
257	787	2264
258	791	2263
259	794	2262
260	798	2260
261	801	2256
262	803	2251
263	805	2246
264	810	2246
265	814	2248
266	818	2246
267	822	2245
268	825	2242
269	828	2239
270	830	2234
271	832	2228
272	834	2222
273	838	2220
274	841	2219
275	846	2219
276	848	2214
277	851	2212
278	855	2209
279	857	2205
280	860	2200
281	862	2196
282	864	2190
283	867	2188
284	870	2184
285	873	2180
286	875	2175
287	878	2171
288	881	2167
289	883	2163
290	885	2158
291	888	2153
292	890	2148
293	892	2142
294	894	2138
295	898	2136
296	901	2132
297	903	2128
298	905	2123
299	908	2118
300	910	2115
301	913	2112
302	917	2109
303	919	2104
304	921	2099
305	925	2097
306	927	2093
307	931	2092
308	934	2088
309	936	2083
310	939	2080
311	942	2078
312	945	2074
313	947	2070
314	949	2065
315	951	2060
316	955	2059
317	958	2055
318	961	2051
319	963	2047
320	965	2042
321	968	2039
322	973	2041
323	976	2037
324	978	2032
325	980	2027
326	984	2026
327	988	2024
328	990	2020
329	993	2016
330	995	2011
331	997	2007
332	1000	2004
333	1003	2000
334	1005	1996
335	1008	1992
336	1010	1988
337	1013	1985
338	1016	1982
339	1019	1979
340	1021	1974
341	1023	1969
342	1025	1964
343	1029	1962
344	1031	1958
345	1033	1953
346	1035	1948
347	1037	1943
348	1039	1939
349	1042	1935
350	1044	1931
351	1047	1927
352	1049	1923
353	1051	1918
354	1053	1914
355	1056	1910
356	1059	1907
357	1061	1904
358	1063	1899
359	1065	1894
360	1067	1890
361	1070	1886
362	1073	1883
363	1076	1880
364	1078	1876
365	1080	1871
366	1083	1868
367	1086	1865
368	1090	1863
369	1092	1859
370	1094	1855
371	1096	1851
372	1098	1847
373	1101	1844
374	1104	1840
375	1106	1836
376	1108	1832
377	1110	1827
378	1112	1823
379	1115	1820
380	1118	1816
381	1121	1813
382	1123	1809
383	1125	1805
384	1128	1801
385	1132	1801
386	1137	1801
387	1139	1797
388	1141	1792
389	1145	1791
390	1149	1791
391	1152	1787
392	1154	1783
393	1156	1779
394	1160	1777
395	1164	1776
396	1167	1772
397	1169	1768
398	1171	1764
399	1174	1761
400	1177	1759
401	1181	1757
402	1183	1753
403	1185	1749
404	1189	1747
405	1195	1749
406	1197	1745
407	1199	1740
408	1201	1736
409	1204	1733
410	1208	1731
411	1209	1726
412	1211	1722
413	1213	1717
414	1215	1713
415	1217	1709
416	1220	1706
417	1223	1702
418	1225	1698
419	1226	1694
420	1228	1689
421	1230	1685
422	1233	1682
423	1235	1678
424	1237	1674
425	1239	1670
426	1241	1665
427	1243	1661
428	1245	1657
429	1247	1653
430	1249	1649
431	1251	1644
432	1253	1640
433	1254	1636
434	1256	1632
435	1258	1627
436	1260	1623
437	1262	1619
438	1264	1615
439	1265	1611
